,Code,supermarket,fast_food,total_weekly_income,total_private_outdoor_space,rural_urban_settings
337,E02000352,0,0,860.0,142996.7,urban
338,E02000353,2,10,1020.0,133228.5,urban
339,E02000354,0,0,650.0,145983.8,urban
340,E02000355,1,2,820.0,179438.7,urban
341,E02000356,0,2,1000.0,425427.0,urban
342,E02000357,0,0,580.0,56389.5,urban
343,E02000358,1,3,760.0,128632.7,urban
344,E02000359,0,1,790.0,131299.6,urban
345,E02000360,1,1,640.0,102195.7,urban
346,E02000361,4,1,740.0,81920.8,urban
347,E02000362,0,0,680.0,87459.9,urban
348,E02000363,0,0,610.0,69338.2,urban
349,E02000364,1,0,910.0,250034.5,urban
350,E02000365,2,2,830.0,238658.2,urban
351,E02000366,1,0,720.0,153318.0,urban
352,E02000367,2,4,920.0,105561.6,urban
353,E02000368,0,0,630.0,86076.4,urban
354,E02000369,2,0,710.0,56760.1,urban
355,E02000370,0,1,700.0,27594.9,urban
356,E02000371,4,7,830.0,31408.3,urban
357,E02000372,1,2,730.0,198779.4,urban
358,E02000373,1,0,640.0,61757.9,urban
359,E02000374,0,0,930.0,182701.3,urban
360,E02000375,3,1,810.0,96000.6,urban
361,E02000376,3,2,830.0,96992.2,urban
362,E02000377,2,1,830.0,168865.3,urban
363,E02000378,3,0,990.0,67515.8,urban
364,E02000379,0,0,990.0,203620.0,urban
365,E02000380,0,0,1130.0,97224.9,urban
366,E02000381,1,0,1140.0,114062.5,urban
367,E02000382,3,1,1090.0,137958.2,urban
368,E02000383,2,0,960.0,74889.0,urban
369,E02000384,4,1,770.0,65165.8,urban
370,E02000385,0,0,1200.0,49871.3,urban
371,E02000386,1,0,790.0,56889.4,urban
372,E02000387,0,1,870.0,61824.1,urban
373,E02000388,2,3,940.0,88603.3,urban
374,E02000389,3,0,1170.0,177197.5,urban
375,E02000390,2,2,1010.0,74400.4,urban
376,E02000391,3,1,1140.0,117780.0,urban
377,E02000392,5,0,1170.0,104977.0,urban
378,E02000393,1,0,1360.0,81307.3,urban
379,E02000394,2,0,960.0,82090.9,urban
380,E02000395,1,0,1400.0,96225.5,urban
381,E02000396,0,0,1190.0,93387.2,urban
382,E02000397,1,0,760.0,162454.2,urban
383,E02000398,0,0,570.0,140608.0,urban
384,E02000400,2,3,890.0,258822.1,urban
