,Code,Msoa_name,education_no_qualifications,lone_parent_unemployed,limited_activity_fam_member,families_with_3plus_kids,health_life_expectancy_at_birth,child_poverty,overcrowded_houses,self_harm_hospital_admission,AvPTAI2015,supermarket,fast_food,total_weekly_income,total_private_outdoor_space
147,E02000152,Bromley 026,25.7,51.5,8.779671333,18.73684211,63.77738,20.5,9.0,55.9,372.17556060606057,0,0,760.0,546139.6
148,E02000153,Bromley 027,15.5,19.9,4.796905222,15.43498597,71.068965,4.3,2.0,33.7,603.4546322580645,0,0,1100.0,877680.6
149,E02000154,Bromley 028,16.7,39.9,6.357582611,14.59183673,71.118115,10.0,7.6,56.2,286.9823231292517,2,0,980.0,1008470.0
150,E02000155,Bromley 029,27.1,26.0,8.819695873,15.83220568,66.7243,15.5,4.7,42.6,327.06467123287666,0,0,810.0,724095.5
151,E02000156,Bromley 030,15.8,21.7,6.217959319,15.0390625,72.17455,4.5,5.6,35.6,521.5147062780269,3,1,990.0,1391975.6
152,E02000157,Bromley 031,14.9,22.9,5.826217981,15.47131148,71.657285,3.6,3.2,18.3,342.505198019802,0,1,1030.0,1109026.6
153,E02000158,Bromley 032,22.1,55.5,7.441607822,22.04806688,68.964855,23.4,5.6,36.7,334.46893902439024,1,0,900.0,867156.1
154,E02000159,Bromley 033,16.6,33.3,5.196711685,17.01346389,70.852525,6.0,2.3,34,424.86693073593074,2,1,1040.0,1717257.4
155,E02000160,Bromley 034,16.1,25.3,5.740835031,16.60039761,69.9487,5.2,4.6,51.6,335.04308163265307,1,0,1020.0,1001709.3
156,E02000161,Bromley 035,16.2,23.8,5.517241379,14.49407475,69.305625,3.8,2.4,22.4,375.4099715909091,0,0,1050.0,875289.0
157,E02000162,Bromley 036,23.4,32.2,8.277304647,13.60381862,69.120965,10.4,6.9,60.5,134.89909232,0,1,870.0,892793.8
158,E02000163,Bromley 037,16.8,25.9,5.503267974,15.23394995,68.990495,7.7,2.9,56.9,239.80656555598452,1,0,1050.0,1608395.7
159,E02000165,Bromley 039,17.4,24.7,4.158977999,15.82417582,67.88459,9.9,3.8,39.2,343.4579970102564,0,0,1000.0,760376.5
160,E02000166,Camden 001,13.2,49.4,8.266027259,16.18303571,66.849155,15.4,18.2,66.4,514.1404432234432,1,0,1000.0,392029.6
161,E02000167,Camden 002,5.5,31.9,4.796072508,15.71753986,73.177125,3.1,15.8,40.5,790.9073399693722,0,0,1480.0,292517.3
162,E02000168,Camden 003,12.4,47.7,7.04845815,15.27777778,63.777225,14.1,27.3,32.3,178.15911355311357,2,10,1070.0,164111.0
163,E02000169,Camden 004,6.7,38.4,4.321068482,20.75919336,74.219795,3.6,13.4,17.6,351.52396028880867,1,0,1330.0,515596.4
164,E02000170,Camden 005,7.6,37.3,4.59342768,12.03369434,68.183395,11.4,28.9,46.5,358.9693449781659,1,1,1240.0,238458.4
165,E02000171,Camden 006,10.1,53.3,6.689690458,16.37831603,67.33497,14.6,24.5,29,126.5723387978142,0,1,1120.0,148528.5
166,E02000172,Camden 007,22.3,60.8,10.43658224,20.94370861,56.82852,29.6,37.3,42.6,215.62107067137808,1,3,700.0,81452.4
167,E02000173,Camden 008,6.0,44.0,4.872964169,15.09433962,70.755575,5.7,28.9,25.3,206.91535064935064,2,1,1350.0,254415.8
168,E02000174,Camden 009,14.5,50.8,8.010098692,17.34693878,59.791555,23.0,35.4,30.5,184.13688942307687,0,1,910.0,152742.9
169,E02000175,Camden 010,8.6,48.1,6.11437613,13.18537859,61.17273,16.4,31.7,30.2,257.05392903225805,4,2,1130.0,138832.9
170,E02000176,Camden 011,5.4,31.9,4.299388043,11.28205128,71.694165,3.1,26.1,45,105.50763101604278,1,0,1340.0,150370.6
171,E02000177,Camden 012,19.1,59.3,9.286991506,22.13279678,58.54713,28.0,32.8,39.5,137.03944957983194,0,3,770.0,88549.6
172,E02000178,Camden 013,14.4,50.9,8.79530315,18.08118081,57.02905,28.5,35.8,32.8,211.97268393782383,1,0,840.0,134094.1
173,E02000179,Camden 014,11.6,58.7,6.399115184,18.90166028,67.904165,17.9,29.4,27.1,97.84778974358974,2,2,1080.0,113507.8
174,E02000180,Camden 015,13.4,45.9,6.742257986,20.52631579,61.401425,23.8,35.1,34.7,337.5413868312757,1,0,860.0,117659.7
175,E02000181,Camden 016,6.5,59.0,4.94291645,11.25356125,66.92969,14.4,22.3,25.1,289.65753303964755,0,0,1300.0,243260.3
176,E02000182,Camden 017,11.9,59.5,6.510377781,19.33774834,67.805695,14.6,24.6,24.9,392.878868852459,3,3,1030.0,163201.7
177,E02000183,Camden 018,11.4,53.3,6.874763048,19.37984496,66.58733,14.9,31.3,47.2,257.2850203389831,2,2,1040.0,110581.0
178,E02000184,Camden 019,17.3,54.4,8.275163252,21.67755991,57.348295,32.1,37.7,36.5,358.0938507462687,1,7,720.0,55105.8
179,E02000185,Camden 020,18.6,57.6,9.806996381,21.74381055,59.11793,28.5,38.9,31.8,229.5682901960784,3,0,690.0,92800.7
180,E02000186,Camden 021,12.6,51.6,7.163152385,16.95906433,66.63469,21.7,39.4,38.9,224.82924431818185,6,19,870.0,82284.6
181,E02000187,Camden 022,25.4,58.3,10.57020233,26.54508612,54.41354,30.7,37.8,35.3,519.5662861271676,3,8,600.0,16775.1
182,E02000188,Camden 023,20.0,46.3,7.750540735,27.10059172,55.60379,28.0,41.1,29.3,563.9693084513084,3,6,620.0,17884.8
183,E02000189,Camden 024,15.4,42.2,6.544414536,40.98073555,57.95473,20.9,47.6,22.1,606.2039169550173,0,5,690.0,20453.5
