,Code,supermarket,fast_food,total_weekly_income,total_private_outdoor_space,RUC11,rural_urban_settings
2406,E02002472,0,0,,788401.2,Rural town and fringe,rural
2407,E02002473,0,0,,729721.3,Urban major conurbation,urban
2408,E02002474,0,0,,756064.3,Urban major conurbation,urban
2409,E02002475,0,0,,1053688.1,Urban city and town,urban
2410,E02002476,0,0,,652849.5,Rural town and fringe,rural
2411,E02002477,0,0,,722901.3,Rural town and fringe,rural
2412,E02002478,0,0,,674371.0,Rural town and fringe,rural
2413,E02002479,0,0,,855442.4,Rural town and fringe,rural
2414,E02002480,0,0,,462523.4,Urban city and town,urban
2415,E02002481,0,0,,686260.0,Urban city and town,urban
2416,E02002482,0,0,,681335.2,Urban city and town,urban
2417,E02002483,0,0,,775822.2,Urban city and town,urban
2418,E02002484,0,0,,544211.7,Urban city and town,urban
2419,E02002485,0,0,,428163.9,Urban city and town,urban
2420,E02002487,0,0,,124055.1,Urban city and town,urban
2421,E02002488,0,0,,722424.6,Urban city and town,urban
2422,E02002489,0,0,,261268.1,Urban city and town,urban
2423,E02002490,0,0,,265155.5,Urban city and town,urban
2424,E02002491,0,0,,460868.4,Urban city and town,urban
2425,E02002492,0,0,,571853.1,Urban city and town,urban
2426,E02002493,0,0,,584728.9,Urban city and town,urban
2427,E02002494,0,0,,532003.3,Urban city and town,urban
2428,E02002496,0,0,,323613.8,Urban city and town,urban
2429,E02002497,0,0,,238961.6,Urban city and town,urban
2430,E02002498,0,0,,118767.1,Urban city and town,urban
2431,E02002499,0,0,,442736.9,Urban city and town,urban
2432,E02002500,0,0,,272631.4,Urban city and town,urban
2433,E02002501,0,0,,560593.7,Urban city and town,urban
2434,E02002502,0,0,,640367.0,Urban city and town,urban
2435,E02002503,0,0,,414077.7,Urban city and town,urban
2436,E02002504,0,0,,597675.6,Urban city and town,urban
2437,E02002505,0,0,,425811.7,Urban city and town,urban
2438,E02002506,0,0,,379322.5,Urban city and town,urban
2439,E02002507,0,0,,546893.8,Urban city and town,urban
2440,E02002508,0,0,,528360.5,Urban city and town,urban
2441,E02002509,0,0,,383569.9,Urban city and town,urban
2442,E02002510,0,0,,622030.7,Urban city and town,urban
2443,E02002512,0,0,,740352.8,Urban city and town,urban
2444,E02002513,0,0,,776840.9,Urban city and town,urban
2445,E02002514,0,0,,669942.8,Urban city and town,urban
2446,E02002515,0,0,,226797.3,Urban city and town,urban
2447,E02002516,0,0,,461185.0,Urban city and town,urban
2448,E02002517,0,0,,456745.9,Urban city and town,urban
2449,E02002518,0,0,,969812.0,Urban city and town,urban
2450,E02002519,0,0,,543759.5,Urban city and town,urban
2451,E02002520,0,0,,1166675.4,Rural town and fringe,rural
2452,E02002521,0,0,,472672.6,Rural town and fringe,rural
2453,E02002523,0,0,,429742.0,Urban city and town,urban
2454,E02002524,0,0,,504466.0,Rural town and fringe,rural
2455,E02002525,0,0,,595825.8,Urban city and town,urban
2456,E02002526,0,0,,611402.3,Rural town and fringe,rural
2457,E02002527,0,0,,268920.8,Rural town and fringe,rural
2458,E02002529,0,0,,497542.4,Urban city and town,urban
2459,E02002530,0,0,,736139.2,Rural town and fringe,rural
2460,E02002532,0,0,,440268.1,Urban city and town,urban
2461,E02002533,0,0,,778789.4,Urban city and town,urban
2462,E02002534,0,0,,831440.6,Urban city and town,urban
2463,E02002535,0,0,,822752.7,Urban city and town,urban
2464,E02002536,0,0,,760807.0,Urban city and town,urban
2465,E02002537,0,0,,572564.3,Urban city and town,urban
2466,E02002538,0,0,,1810204.5,Urban city and town,urban
2467,E02002539,0,0,,2000977.4,Rural village and dispersed,rural
2468,E02002540,0,0,,709231.7,Urban city and town,urban
2469,E02002541,0,0,,474751.9,Urban city and town,urban
2470,E02002542,0,0,,634453.2,Urban city and town,urban
2471,E02002543,0,0,,562092.1,Urban city and town,urban
2472,E02002544,0,0,,455263.7,Urban city and town,urban
2473,E02002545,0,0,,445817.5,Urban city and town,urban
2474,E02002546,0,0,,554853.4,Urban city and town,urban
2475,E02002547,0,0,,664720.2,Urban city and town,urban
2476,E02002548,0,0,,444281.7,Urban city and town,urban
2477,E02002549,0,0,,765376.6,Urban city and town,urban
2478,E02002550,0,0,,589133.0,Urban city and town,urban
2479,E02002551,0,0,,164433.5,Urban city and town,urban
2480,E02002552,0,0,,478509.4,Urban city and town,urban
2481,E02002553,0,0,,524369.0,Urban city and town,urban
2482,E02002554,0,0,,291789.4,Urban city and town,urban
2483,E02002555,0,0,,1152972.1,Urban city and town,urban
2484,E02002556,0,0,,935655.2,Urban city and town,urban
2485,E02002557,0,0,,1384198.9,Urban city and town,urban
2486,E02002558,0,0,,1534870.7,Urban city and town,urban
2487,E02002559,0,0,,1792371.7,Rural village and dispersed,rural
2488,E02002560,0,0,,450464.5,Urban city and town,urban
2489,E02002561,0,0,,465591.2,Urban city and town,urban
2490,E02002562,0,0,,250279.5,Urban city and town,urban
2491,E02002563,0,0,,480182.8,Urban city and town,urban
2492,E02002564,0,0,,780867.1,Urban city and town,urban
2493,E02002565,0,0,,166042.6,Urban city and town,urban
2494,E02002566,0,0,,126464.5,Urban city and town,urban
2495,E02002567,0,0,,532129.4,Urban city and town,urban
2496,E02002568,0,0,,674516.1,Urban city and town,urban
2497,E02002569,0,0,,1250472.0,Urban city and town,urban
2498,E02002570,0,0,,411064.4,Urban city and town,urban
2499,E02002571,0,0,,481065.3,Urban city and town,urban
2500,E02002572,0,0,,345621.1,Urban city and town,urban
2501,E02002573,0,0,,1533146.6,Rural town and fringe,rural
2502,E02002574,0,0,,874140.8,Urban city and town,urban
2503,E02002575,0,0,,953842.3,Urban city and town,urban
2504,E02002576,0,0,,508956.0,Urban city and town,urban
2505,E02002577,0,0,,464415.0,Urban city and town,urban
2506,E02002578,0,0,,635387.0,Urban city and town,urban
2507,E02002579,0,0,,523346.7,Urban city and town,urban
2508,E02002580,0,0,,1764715.5,Urban city and town,urban
2509,E02002581,0,0,,808492.9,Urban city and town,urban
2510,E02002582,0,0,,1252550.6,Urban city and town,urban
2511,E02002583,0,0,,386995.6,Urban city and town,urban
2512,E02002584,0,0,,551264.3,Urban city and town,urban
2513,E02002585,0,0,,675450.0,Urban city and town,urban
2514,E02002586,0,0,,698939.1,Urban city and town,urban
2515,E02002587,0,0,,328923.6,Urban city and town,urban
2516,E02002588,0,0,,293142.7,Urban city and town,urban
2517,E02002589,0,0,,759365.7,Urban city and town,urban
2518,E02002590,0,0,,1205221.4,Rural town and fringe,rural
2519,E02002591,0,0,,1002623.8,Rural town and fringe,rural
2520,E02002592,0,0,,725300.2,Rural town and fringe,rural
2521,E02002593,0,0,,463150.2,Urban city and town,urban
2522,E02002594,0,0,,361135.5,Urban city and town,urban
2523,E02002595,0,0,,523055.6,Urban city and town,urban
2524,E02002596,0,0,,749199.7,Urban city and town,urban
2525,E02002597,0,0,,500713.3,Urban city and town,urban
2526,E02002598,0,0,,775913.3,Urban city and town,urban
2527,E02002599,0,0,,951410.8,Urban city and town,urban
2528,E02002600,0,0,,422990.2,Urban city and town,urban
2529,E02002601,0,0,,764311.1,Urban city and town,urban
2530,E02002602,0,0,,362429.6,Urban city and town,urban
2531,E02002603,0,0,,646299.7,Urban city and town,urban
2532,E02002604,0,0,,767129.7,Urban city and town,urban
2533,E02002605,0,0,,662848.7,Urban city and town,urban
2534,E02002606,0,0,,344353.3,Urban city and town,urban
2535,E02002607,0,0,,464034.1,Urban city and town,urban
2536,E02002608,0,0,,930228.9,Urban city and town,urban
2537,E02002609,0,0,,521968.4,Urban city and town,urban
2538,E02002610,0,0,,1723119.8,Urban city and town,urban
2539,E02002611,0,0,,817672.4,Urban city and town,urban
2540,E02002612,0,0,,921418.2,Urban city and town,urban
2541,E02002613,0,0,,1321586.3,Urban city and town,urban
2542,E02002614,0,0,,1232226.6,Urban city and town,urban
2543,E02002615,0,0,,828332.5,Urban city and town,urban
2544,E02002616,0,0,,711904.1,Urban city and town,urban
2545,E02002617,0,0,,220950.7,Urban city and town,urban
2546,E02002618,0,0,,233674.1,Urban city and town,urban
